127.0.0.1 - - [13/Sep/2017:12:29:52 -0500] "GET / HTTP/1.1" 404 990
0:0:0:0:0:0:0:1 - - [13/Sep/2017:12:29:56 -0500] "GET /mvc/ HTTP/1.1" 200 788
0:0:0:0:0:0:0:1 - - [13/Sep/2017:12:30:06 -0500] "POST /mvc/VerificarAcceso HTTP/1.1" 200 817
0:0:0:0:0:0:0:1 - - [13/Sep/2017:12:31:44 -0500] "POST /mvc/VerificarAcceso HTTP/1.1" 200 398
0:0:0:0:0:0:0:1 - - [13/Sep/2017:12:31:48 -0500] "GET /mvc/ListaContacto?idUssuario=1 HTTP/1.1" 200 1916
0:0:0:0:0:0:0:1 - - [13/Sep/2017:12:31:52 -0500] "GET /mvc/viewRegistroContacto?idUsuario=1 HTTP/1.1" 200 2155
0:0:0:0:0:0:0:1 - - [13/Sep/2017:12:33:37 -0500] "POST /mvc/RegistroContacto?idUsuario=1 HTTP/1.1" 200 331
0:0:0:0:0:0:0:1 - - [13/Sep/2017:12:33:50 -0500] "POST /mvc/RegistroContacto?idUsuario=1 HTTP/1.1" 200 2174
0:0:0:0:0:0:0:1 - - [13/Sep/2017:12:34:29 -0500] "POST /mvc/RegistroContacto?idUsuario=1 HTTP/1.1" 200 331
0:0:0:0:0:0:0:1 - - [13/Sep/2017:12:34:40 -0500] "GET /mvc/ListaContacto?idUssuario=1 HTTP/1.1" 200 2100
0:0:0:0:0:0:0:1 - - [13/Sep/2017:12:34:48 -0500] "GET /mvc/viewRegistroContacto?idUsuario=1 HTTP/1.1" 200 2155
0:0:0:0:0:0:0:1 - - [13/Sep/2017:12:34:55 -0500] "GET /mvc/EliminarContacto?idContacto=10&idUusario=1 HTTP/1.1" 200 1931
0:0:0:0:0:0:0:1 - - [13/Sep/2017:12:34:57 -0500] "GET /mvc/EliminarContacto?idContacto=5&idUusario=1 HTTP/1.1" 200 1738
0:0:0:0:0:0:0:1 - - [13/Sep/2017:12:34:59 -0500] "GET /mvc/EliminarContacto?idContacto=6&idUusario=1 HTTP/1.1" 200 1545
0:0:0:0:0:0:0:1 - - [13/Sep/2017:12:36:38 -0500] "GET /mvc/ HTTP/1.1" 200 788
0:0:0:0:0:0:0:1 - - [13/Sep/2017:12:37:07 -0500] "POST /mvc/VerificarAcceso HTTP/1.1" 200 398
0:0:0:0:0:0:0:1 - - [13/Sep/2017:12:37:10 -0500] "GET /mvc/ListaContacto?idUssuario=1 HTTP/1.1" 200 1527
0:0:0:0:0:0:0:1 - - [13/Sep/2017:12:37:26 -0500] "GET /mvc/viewRegistroContacto?idUsuario=1 HTTP/1.1" 200 2155
0:0:0:0:0:0:0:1 - - [13/Sep/2017:12:37:32 -0500] "GET /mvc/ListaContacto?idUssuario=1 HTTP/1.1" 200 1527
0:0:0:0:0:0:0:1 - - [13/Sep/2017:12:37:50 -0500] "GET /mvc/viewRegistroUsuario HTTP/1.1" 200 1130
